"ID","Key","Value"
"EAID_FCF60C29_8725_4490_9717_2F4C8A9EFA77","First Increment","4"
"EAID_2784DB42_7413_4c24_BE34_C9991EEE5112","First Increment","4"
"EAID_7FA51065_A028_471b_B1B1_DE72B890F240","First Increment","1"
"EAID_0DA4721B_ED9E_43d9_A750_28D68CD9908F","First Increment","3"
"EAID_2D898591_073C_416e_B510_E9C4AEF3BAF3","First Increment","5"
"EAID_E66CE9E1_D1AA_4e65_9948_F31053711580","First Increment","2"
"EAID_C37DA04B_B952_4ee9_B229_29D3515DCA08","First Increment","2"
"EAID_B1D264FA_0549_4f7b_992A_46139B679507","First Increment","2"
"id-c3663c6dbaf94f5f9e9241dfd309d89d","Access_Type","Read"
"id-fc70090a8b6e4af29afb531e37c57a6f","Directed","false"
"id-75b8f25bca94418981fea6b321cb7d30","Access_Type","Read"
"EAID_EED7ED37_3293_41fb_AFF7_7583DFE71115","Access_Type","Read"
"id-cb6861475c914fdbad4dae4137bd538b","Directed","false"
"EAID_42E19CB9_BB7E_4c5b_9623_66E6092BB0CF","First Increment","4"
"EAID_42E19CB9_BB7E_4c5b_9623_66E6092BB0CF","Access_Type","Read"
"id-2c402d96f4cd4bb3bef0c7c07b0a1af0","Directed","false"
"id-6542f59ab44647a7a83c0455f3ef3209","Access_Type","Read"
"id-7c201dad7f284161b0b7c3e7da4eb9ff","Directed","false"
"id-9d1ac302ef15424a80a53226737b06f9","Directed","false"
"id-6101f7fd12c34e58a8c94065822fe99d","Directed","false"
"id-a9e8d76891c64dbfa9d52a1cde8459eb","Directed","false"
"id-f9267c3bd5ce416694e0e16daf38115c","Directed","false"
"id-1073fae896414e0693d27f7f944ad690","Directed","false"
"id-d052257da6594a749df1ddfb6602611c","Directed","true"
"id-75716c863473462a88d52ac5d508c744","Access_Type","Read"
"id-b0166922dce8450cb389cf357bcb2970","Access_Type","Read"
"id-e1cd1bbd8e9f4c268fcfa7754e3b8db7","Directed","false"
"id-965e3ceb3cd44e158fc5c14563c06d69","Access_Type","Read"
"id-752b673872e4481d81e0efc81131f2d5","Directed","false"
"id-dcf4b877605d452a82db7f0d20cf43a1","Access_Type","Access"
"id-b63ca0df88b643b6922ba282e4cb55f1","Directed","false"
"EAID_3F6F6726_AF7B_4915_A6CC_E1F0FF065E94","Access_Type","Read"
"id-14add70f28d64b488b7625d66b99f48a","Directed","false"
"EAID_6D65C6E7_25F6_47b6_926E_3B1F2DA3DA43","First Increment","4"
"EAID_6D65C6E7_25F6_47b6_926E_3B1F2DA3DA43","Access_Type","Read"
"id-e6c2f3e792e94fe8a2e1c3e233641328","Directed","false"
"id-28655945617348a7bed0f7680f62ad1d","Directed","false"
"EAID_4129AD6B_2142_40a4_ADE9_511C8D6DDBC0","Access_Type","Write"
"id-426a9ccf59124d67a5de1c328fb23f73","Directed","false"
"id-066eddcb67c141a38ecb2ea857fbf7f6","Access_Type","Write"
"id-687db44d1c8240da83ab8f58c1fa2396","Access_Type","ReadWrite"
"id-fb2b8e8b7e4e4442be8d88a250ace097","Directed","false"
"EAID_F0A6903E_66B9_4342_93AE_08F8B57D699D","First Increment","3"
"EAID_F0A6903E_66B9_4342_93AE_08F8B57D699D","Access_Type","Read"
"id-454a39691057420a84d8aff66dfb1215","Directed","false"
"id-614090608a04437e9677bd02d1506e6f","Access_Type","Write"
"id-52c9b79603de43c69413495fd18f541e","Directed","false"
"EAID_9012A1E1_6DB1_4f92_9564_F1C8D3BC3701","Access_Type","Write"
"id-d816cb68b61c41b4b764197ae334da89","Directed","false"
"id-e68a125c6fd24c1882ba83a4cadabd47","Access_Type","Read"
"id-18ea97fe5e4240feabc9c6ea59bb6b92","Directed","false"
"id-4ed1ebc1ea9c4a87bb63aeb06c962e12","Directed","false"
"id-19bd6219bbb84135a0147c04b8beab78","Access_Type","ReadWrite"
"EAID_0560C3C2_90BA_46cc_BCE5_0E0BC6D74A4E","Access_Type","Read"
"id-36be9fb15929420a844180da55544eea","Directed","false"
"id-4937fc5a769242d6a16253bcd37fda9d","Access_Type","Read"
"id-cb8a637a511a4729ba7e5ed909cb2a13","Access_Type","Read"
"id-aec0052620484bbbac22ad6fca0c3d1b","Directed","false"
"id-c695864618cd4c9e947a9333890fb53a","Directed","true"
"id-76828f6c89104563bdc543a347c0ec0f","Directed","false"
"id-d5b0c420ddf648dbb6d5fffae1b84913","Access_Type","Read"
"id-3320d87776624416bc841cf15dae9fe9","Directed","false"
"EAID_1DD581F1_E69A_4935_A7E2_B71291534897","Access_Type","Read"
