"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-c3663c6dbaf94f5f9e9241dfd309d89d","AccessRelationship","","","id-73b3e9ba86384554a422b115135fdd0e","id-5ccb7373450546ac8aa45458126b6ee9",""
"id-75b8f25bca94418981fea6b321cb7d30","AccessRelationship","","","id-e508c830ee24471886d93a6d0d38d4ae","id-66f54c52c5524053b01de7f67da1da67",""
"EAID_EED7ED37_3293_41fb_AFF7_7583DFE71115","AccessRelationship","","","EAID_15A0F584_7462_40d4_AA31_15F3F916400D","EAID_9E4FBA8F_46DC_4f4c_A61A_ADFA641F74F5",""
"EAID_42E19CB9_BB7E_4c5b_9623_66E6092BB0CF","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_2784DB42_7413_4c24_BE34_C9991EEE5112",""
"id-6542f59ab44647a7a83c0455f3ef3209","AccessRelationship","","","id-c9ed4ccf17b245a4aeec04c8c20f177c","id-739f066be0ca4d0ca12975da519ada26",""
"id-75716c863473462a88d52ac5d508c744","AccessRelationship","","","id-1f790482a7e4459db403b231f1a8c020","id-739f066be0ca4d0ca12975da519ada26",""
"id-b0166922dce8450cb389cf357bcb2970","AccessRelationship","","","EAID_AAB1269E_7BD3_43de_B44C_44417E32B9C2","id-0e01a8032129446390c14fcdb0998b67",""
"id-965e3ceb3cd44e158fc5c14563c06d69","AccessRelationship","","","id-3b6935e78b63422ca13c6c8983884daf","id-58c0075bd0b14582834f5536ff215260",""
"EAID_3F6F6726_AF7B_4915_A6CC_E1F0FF065E94","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_E66CE9E1_D1AA_4e65_9948_F31053711580",""
"EAID_6D65C6E7_25F6_47b6_926E_3B1F2DA3DA43","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_FCF60C29_8725_4490_9717_2F4C8A9EFA77",""
"EAID_4129AD6B_2142_40a4_ADE9_511C8D6DDBC0","AccessRelationship","","","EAID_58FA3EA2_9D38_4045_8091_CF622CF89574","EAID_E66CE9E1_D1AA_4e65_9948_F31053711580",""
"id-687db44d1c8240da83ab8f58c1fa2396","AccessRelationship","","","id-a5e6fe0142f4440d80e7d98120848270","id-ad35c321a8704123879535f2473f2115",""
"EAID_F0A6903E_66B9_4342_93AE_08F8B57D699D","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_0DA4721B_ED9E_43d9_A750_28D68CD9908F",""
"id-614090608a04437e9677bd02d1506e6f","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","id-68e26498c8d843c6bebd184f906327e5",""
"EAID_9012A1E1_6DB1_4f92_9564_F1C8D3BC3701","AccessRelationship","","","EAID_06D09A07_EF39_4f52_90BD_D2D11DA5092D","EAID_AF17887A_3859_4316_A4D3_36742DA5533D",""
"id-e68a125c6fd24c1882ba83a4cadabd47","AccessRelationship","","","id-4a24708a8cc74d7e84e5b2e2da8c5ac2","id-4c482e883eb94207859e96a770eeeb2e",""
"EAID_0560C3C2_90BA_46cc_BCE5_0E0BC6D74A4E","AccessRelationship","","","EAID_D055AE5E_4ACC_4fbf_93DC_A521D967770A","EAID_4A7D7B1B_A585_454e_B56D_4668AFC4816E",""
"id-4937fc5a769242d6a16253bcd37fda9d","AccessRelationship","","","id-1fed1c57ed7e479b8e7951116ee61942","id-52ce90f96cae4aeaaf9f2c6f4e44b48b",""
"id-cb8a637a511a4729ba7e5ed909cb2a13","AccessRelationship","","","id-deca773469d64930913384ac9e0ce36b","id-57e3a56d95db47c3ac59ee5572b5eadf",""
"id-d5b0c420ddf648dbb6d5fffae1b84913","AccessRelationship","","","id-9138a534ea3a4ac1895adb46e5344669","id-f6a81d02846d4681ad3dc1fe80dc5a31",""
